Date,BTC_usd,BTC_Volume
2015-01-01,320.434998,8036550
2015-01-02,314.07901,7860650
2015-01-03,314.846008,33054400
2015-01-04,281.145996,55629100
2015-01-05,265.084015,43962800
2015-01-06,274.610992,23245700
2015-01-07,286.076996,24866800
2015-01-08,294.13501,19982500
2015-01-09,282.382996,18718600
2015-01-10,287.303009,15264300
2015-01-11,274.608002,18200800
2015-01-12,266.145996,18880300
2015-01-13,267.394012,72843904
2015-01-14,223.893997,97638704
2015-01-15,176.897003,81773504
2015-01-16,209.070007,38421000
2015-01-17,207.834,23469700
2015-01-18,200.050003,30085100
2015-01-19,211.470993,18658300
2015-01-20,212.906998,24051100
2015-01-21,211.378006,29924600
2015-01-22,227.322006,33544600
2015-01-23,233.516998,24621700
2015-01-24,232.699997,24782500
2015-01-25,247.352005,33582700
2015-01-26,254.078995,106794000
2015-01-27,273.166992,44399000
2015-01-28,263.351013,44352200
2015-01-29,233.348007,32213400
2015-01-30,232.772003,26605200
2015-01-31,226.440994,23348200
2015-02-01,216.867004,29128500
2015-02-02,226.490997,30612100
2015-02-03,237.453995,40783700
2015-02-04,227.511002,26594300
2015-02-05,227.664993,22516400
2015-02-06,216.923004,24435300
2015-02-07,222.632996,21604200
2015-02-08,227.692993,17145200
2015-02-09,223.389008,27791300
2015-02-10,220.281998,21115100
2015-02-11,219.731995,17201900
2015-02-12,219.207993,15206200
2015-02-13,221.968994,42744400
2015-02-14,235.528,49732500
2015-02-15,257.506989,56552400
2015-02-16,234.824997,28153700
2015-02-17,233.421997,27363100
2015-02-18,243.779999,25200800
2015-02-19,236.410004,18270500
2015-02-20,240.251007,23876700
2015-02-21,243.751999,12284200
2015-02-22,244.544006,19527000
2015-02-23,235.994995,16400000
2015-02-24,238.998001,14200400
2015-02-25,238.889999,11496200
2015-02-26,237.337006,13619400
2015-02-27,236.436005,44013900
2015-02-28,253.520004,13949300
2015-03-01,254.283005,25213700
2015-03-02,260.356995,40465700
2015-03-03,275.04599,50461300
2015-03-04,281.98999,41383000
2015-03-05,272.739014,41302400
2015-03-06,275.600006,28918900
2015-03-07,272.294006,17825900
2015-03-08,276.433014,22067900
2015-03-09,274.812012,59178200
2015-03-10,289.862,67770800
2015-03-11,291.524994,33963900
2015-03-12,296.127014,32585200
2015-03-13,294.118011,31421500
2015-03-14,284.441986,22612300
2015-03-15,281.424988,11970100
2015-03-16,285.684998,21516100
2015-03-17,290.595001,21497200
2015-03-18,285.066986,57008000
2015-03-19,255.880005,52732000
2015-03-20,260.955994,18456700
2015-03-21,261.644012,17130100
2015-03-22,259.916992,18438100
2015-03-23,267.894989,22811900
2015-03-24,266.576996,40073700
2015-03-25,247.472,35866900
2015-03-26,246.276001,25730000
2015-03-27,248.565994,17274900
2015-03-28,246.975006,16040900
2015-03-29,252.740005,21699400
2015-03-30,242.878998,23009600
2015-03-31,247.453995,22672000
2015-04-01,244.223007,22877200
2015-04-02,247.089005,26272600
2015-04-03,253.074005,23146600
2015-04-04,254.291,12493500
2015-04-05,253.761002,19649200
2015-04-06,260.721008,20034200
2015-04-07,255.274002,18467400
2015-04-08,253.063995,30086400
2015-04-09,244.751007,21643500
2015-04-10,243.694,28882000
2015-04-11,236.016006,16365200
2015-04-12,236.535004,12387900
2015-04-13,235.949997,31181800
2015-04-14,224.759003,31719000
2015-04-15,219.072998,22562000
2015-04-16,223.917007,24805400
2015-04-17,228.574997,20429800
2015-04-18,222.852997,12939000
2015-04-19,223.455994,15021500
2015-04-20,222.612,18364700
2015-04-21,224.619995,24978000
2015-04-22,235.602005,23847900
2015-04-23,234.052994,17036000
2015-04-24,235.970001,21448700
2015-04-25,231.235001,13957200
2015-04-26,226.410004,28943700
2015-04-27,219.429001,38574000
2015-04-28,228.968994,21469200
2015-04-29,225.591003,18936500
2015-04-30,225.692993,33818600
2015-05-01,235.938995,18815300
2015-05-02,232.341003,12535500
2015-05-03,234.880005,18494100
2015-05-04,240.356003,21223400
2015-05-05,238.852005,23929100
2015-05-06,236.248993,29587200
2015-05-07,229.662003,29064400
2015-05-08,237.203995,27445500
2015-05-09,243.768997,19790500
2015-05-10,241.729004,15019100
2015-05-11,240.298996,20892300
2015-05-12,242.145004,19282600
2015-05-13,241.397995,27180100
2015-05-14,236.214005,24413700
2015-05-15,236.955002,16329400
2015-05-16,237.643997,11089700
2015-05-17,236.009995,11134300
2015-05-18,236.886993,16780300
2015-05-19,233.037003,14241900
2015-05-20,231.889999,15499400
2015-05-21,234.016006,15108900
2015-05-22,235.320999,27003000
2015-05-23,240.285995,14605000
2015-05-24,238.975998,11508000
2015-05-25,240.927002,14423900
2015-05-26,237.104004,16425000
2015-05-27,237.065002,18837000
