Date,BTC_usd,BTC_Volume,Gold_usd,Litecoin_usd,NYSE_usd,Ethereum_Price,nasdaq_composite_index,Bitcoin_pop_score,Difficulty_BTC,BTC_cash_usd
2015-01-01,320.434998,8036550.0,,2.72421,,,,,40640955017.0,
2015-01-02,314.07901,7860650.0,10.54,2.69743,10859.79981,,4760.240234,,40640955017.0,
2015-01-03,314.846008,33054400.0,,2.66646,,,,,40640955017.0,
2015-01-04,281.145996,55629100.0,,2.11022,,,,63.0,40640955017.0,
2015-01-05,265.084015,43962800.0,10.98,1.95803,10764.37012,,4700.339844,,40640955017.0,
2015-01-06,274.610992,23245700.0,11.02,2.08434,10610.78027,,4666.850098,,40640955017.0,
2015-01-07,286.076996,24866800.0,11.08,2.1181,10514.48047,,4626.839844,,40640955017.0,
2015-01-08,294.13501,19982500.0,11.01,2.11561,10686.0,,4689.540039,,40640955017.0,
2015-01-09,282.382996,18718600.0,10.96,2.01002,10811.82031,,4744.470215,,40640955017.0,
2015-01-10,287.303009,15264300.0,,1.96999,,,,,40640955017.0,
2015-01-11,274.608002,18200800.0,,1.6536,,,,64.0,40640955017.0,
2015-01-12,266.145996,18880300.0,11.06,1.71768,10712.65039,,4714.069824,,43971662056.0,
2015-01-13,267.394012,72843904.0,11.47,1.7102,10640.74023,,4708.740234,,43971662056.0,
2015-01-14,223.893997,97638704.0,10.82,1.54961,10622.57031,,4610.759766,,43971662056.0,
2015-01-15,176.897003,81773504.0,10.72,1.15324,10606.62988,,4657.459961,,43971662056.0,
2015-01-16,209.070007,38421000.0,11.49,1.27719,10508.62012,,4566.379883,,43971662056.0,
2015-01-17,207.834,23469700.0,,1.3978,,,,,43971662056.0,
2015-01-18,200.050003,30085100.0,,1.29603,,,,61.0,43971662056.0,
2015-01-19,211.470993,18658300.0,,1.32857,,,,,43971662056.0,
2015-01-20,212.906998,24051100.0,12.2,1.34099,10682.0,,4655.839844,,43971662056.0,
2015-01-21,211.378006,29924600.0,12.78,1.3239,10646.0,,4641.950195,,43971662056.0,
2015-01-22,227.322006,33544600.0,12.9,1.37427,10753.58008,,4690.930176,,43971662056.0,
2015-01-23,233.516998,24621700.0,12.66,1.41231,10854.23047,,4748.189941,,43971662056.0,
2015-01-24,232.699997,24782500.0,,1.43068,,,,,43971662056.0,
2015-01-25,247.352005,33582700.0,,1.84205,,,,63.0,43971662056.0,
2015-01-26,254.078995,106794000.0,12.1,2.24549,10787.29981,,4752.359863,,43971662056.0,
2015-01-27,273.166992,44399000.0,12.89,2.07418,10793.04004,,4698.22998,,43971662056.0,
2015-01-28,263.351013,44352200.0,12.92,2.09127,10797.23047,,4740.689941,,41272873895.0,
2015-01-29,233.348007,32213400.0,12.28,1.87663,10617.88965,,4635.72998,,41272873895.0,
2015-01-30,232.772003,26605200.0,12.35,1.91446,10636.04004,,4671.209961,,41272873895.0,
2015-01-31,226.440994,23348200.0,,1.89613,,,,,41272873895.0,
2015-02-01,216.867004,29128500.0,,1.87878,,,,51.0,41272873895.0,
2015-02-02,226.490997,30612100.0,12.52,1.81281,10567.95996,,4650.600098,,41272873895.0,
2015-02-03,237.453995,40783700.0,12.8,1.87418,10721.57031,,4693.25,,41272873895.0,
2015-02-04,227.511002,26594300.0,12.76,1.82085,10803.49023,,4699.810059,,41272873895.0,
2015-02-05,227.664993,22516400.0,12.87,1.79474,10821.34961,,4729.649902,,41272873895.0,
2015-02-06,216.923004,24435300.0,12.55,1.74033,10903.29004,,4768.839844,,41272873895.0,
2015-02-07,222.632996,21604200.0,,1.75956,,,,,41272873895.0,
2015-02-08,227.692993,17145200.0,,1.78679,,,,58.0,41272873895.0,
2015-02-09,223.389008,27791300.0,12.39,1.78527,10831.04004,,4723.72998,,44455415962.0,
2015-02-10,220.281998,21115100.0,12.28,1.73325,10860.70996,,4754.629883,,44455415962.0,
2015-02-11,219.731995,17201900.0,12.2,1.76081,10883.91016,,4788.370117,,44455415962.0,
2015-02-12,219.207993,15206200.0,12.12,1.73081,10924.19043,,4828.080078,,44455415962.0,
2015-02-13,221.968994,42744400.0,12.25,1.75509,11009.87012,,4869.72998,,44455415962.0,
2015-02-14,235.528,49732500.0,,1.82293,,,,,44455415962.0,
2015-02-15,257.506989,56552400.0,,1.94003,,,,59.0,44455415962.0,
2015-02-16,234.824997,28153700.0,,1.84448,,,,,44455415962.0,
2015-02-17,233.421997,27363100.0,11.9,1.79412,11042.78027,,4889.990234,,44455415962.0,
2015-02-18,243.779999,25200800.0,12.03,1.85666,11054.46973,,4890.839844,,44455415962.0,
2015-02-19,236.410004,18270500.0,12.55,1.82521,11027.0,,4901.509766,,44455415962.0,
2015-02-20,240.251007,23876700.0,12.86,1.84202,11025.26953,,4919.779785,,44455415962.0,
2015-02-21,243.751999,12284200.0,,1.84896,,,,,44455415962.0,
2015-02-22,244.544006,19527000.0,,1.84988,,,,52.0,44455415962.0,
2015-02-23,235.994995,16400000.0,12.69,1.80305,11091.46973,,4953.100098,,46684376317.0,
2015-02-24,238.998001,14200400.0,12.59,1.81356,11082.12988,,4956.209961,,46684376317.0,
2015-02-25,238.889999,11496200.0,12.71,1.83,11119.63965,,4960.359863,,46684376317.0,
2015-02-26,237.337006,13619400.0,12.91,1.8081,11111.83984,,4969.27002,,46684376317.0,
2015-02-27,236.436005,44013900.0,12.83,1.80117,11078.54004,,4985.029785,,46684376317.0,
2015-02-28,253.520004,13949300.0,,1.84918,,,,,46684376317.0,
2015-03-01,254.283005,25213700.0,,1.84576,,,,57.0,46684376317.0,
2015-03-02,260.356995,40465700.0,13.04,1.89242,11053.66016,,4973.430176,,46684376317.0,
2015-03-03,275.04599,50461300.0,12.8,1.9422,11090.76953,,4990.700195,,46684376317.0,
2015-03-04,281.98999,41383000.0,12.51,1.95605,11018.79981,,4961.240234,,46684376317.0,
2015-03-05,272.739014,41302400.0,12.18,1.92448,11014.7002,,4979.950195,,46684376317.0,
2015-03-06,275.600006,28918900.0,11.82,1.92033,10964.23047,,4967.240234,,46684376317.0,
2015-03-07,272.294006,17825900.0,,1.89359,,,,,46684376317.0,
2015-03-08,276.433014,22067900.0,,1.91353,,,,57.0,46684376317.0,
2015-03-09,274.812012,59178200.0,11.41,1.8925,10846.04981,,4936.080078,,47427554951.0,
2015-03-10,289.862,67770800.0,10.69,1.944,10802.5,,4899.509766,,47427554951.0,
2015-03-11,291.524994,33963900.0,10.68,2.00824,10686.65039,,4866.939941,,47427554951.0,
2015-03-12,296.127014,32585200.0,11.03,2.02358,10734.70996,,4853.97998,,47427554951.0,
2015-03-13,294.118011,31421500.0,10.7,2.04211,10784.08984,,4885.540039,,47427554951.0,
2015-03-14,284.441986,22612300.0,,2.00409,,,,,47427554951.0,
2015-03-15,281.424988,11970100.0,,1.99462,,,,60.0,47427554951.0,
2015-03-16,285.684998,21516100.0,10.56,2.02176,10787.46973,,4897.27002,,47427554951.0,
2015-03-17,290.595001,21497200.0,10.39,2.03447,10843.67969,,4912.649902,,47427554951.0,
2015-03-18,285.066986,57008000.0,10.3,1.98265,10846.42969,,4926.830078,,47427554951.0,
2015-03-19,255.880005,52732000.0,10.85,1.74365,10976.83008,,4982.02002,,47427554951.0,
2015-03-20,260.955994,18456700.0,10.98,1.76328,10932.5,,5033.470215,,47427554951.0,
2015-03-21,261.644012,17130100.0,,1.76692,,,,,47427554951.0,
2015-03-22,259.916992,18438100.0,,1.74583,,,,50.0,47427554951.0,
2015-03-23,267.894989,22811900.0,11.24,1.79968,11089.66016,,5020.600098,,47427554951.0,
2015-03-24,266.576996,40073700.0,11.45,1.77551,11071.9502,,5010.100098,,46717549645.0,
2015-03-25,247.472,35866900.0,11.46,1.6546,11036.94043,,5002.830078,,46717549645.0,
2015-03-26,246.276001,25730000.0,11.56,1.67272,10877.19043,,4835.709961,,46717549645.0,
2015-03-27,248.565994,17274900.0,11.22,1.6912,10860.65039,,4863.740234,,46717549645.0,
2015-03-28,246.975006,16040900.0,,1.68267,,,,,46717549645.0,
2015-03-29,252.740005,21699400.0,,1.70459,,,,53.0,46717549645.0,
2015-03-30,242.878998,23009600.0,11.05,1.65646,10919.04981,,4921.779785,,46717549645.0,
2015-03-31,247.453995,22672000.0,11.1,1.66961,10914.04981,,4925.910156,,46717549645.0,
2015-04-01,244.223007,22877200.0,11.07,1.65103,10906.12988,,4894.359863,,46717549645.0,
2015-04-02,247.089005,26272600.0,11.84,1.66689,10897.66016,,4885.410156,,46717549645.0,
2015-04-03,253.074005,23146600.0,,1.67682,,,,,46717549645.0,
2015-04-04,254.291,12493500.0,,1.69983,,,,,46717549645.0,
2015-04-05,253.761002,19649200.0,,1.68251,,,,51.0,49446390688.0,
2015-04-06,260.721008,20034200.0,12.32,1.70164,10936.83984,,4855.939941,,49446390688.0,
2015-04-07,255.274002,18467400.0,12.46,1.68598,11042.0,,4917.5,,49446390688.0,
2015-04-08,253.063995,30086400.0,12.44,1.66827,11038.51953,,4914.149902,,49446390688.0,
2015-04-09,244.751007,21643500.0,12.16,1.61959,11028.75,,4950.839844,,49446390688.0,
2015-04-10,243.694,28882000.0,12.63,1.58526,11077.74023,,4977.029785,,49446390688.0,
2015-04-11,236.016006,16365200.0,,1.52283,,,,,49446390688.0,
2015-04-12,236.535004,12387900.0,,1.45879,,,,47.0,49446390688.0,
2015-04-13,235.949997,31181800.0,12.61,1.47176,11110.17969,,5001.549805,,49446390688.0,
2015-04-14,224.759003,31719000.0,12.4,1.37585,11078.75977,,4988.819824,,49446390688.0,
2015-04-15,219.072998,22562000.0,12.55,1.37596,11136.88965,,4992.620117,,49446390688.0,
2015-04-16,223.917007,24805400.0,12.9,1.38324,11171.49023,,4999.359863,,49446390688.0,
2015-04-17,228.574997,20429800.0,12.76,1.42154,11113.50977,,4966.109863,,49446390688.0,
2015-04-18,222.852997,12939000.0,,1.40984,,,,,49446390688.0,
2015-04-19,223.455994,15021500.0,,1.40987,,,,48.0,49446390688.0,
2015-04-20,222.612,18364700.0,12.66,1.38429,11058.50977,,4958.069824,,49446390688.0,
2015-04-21,224.619995,24978000.0,12.65,1.4081,11115.79981,,5023.959961,,47610564514.0,
2015-04-22,235.602005,23847900.0,12.8,1.4322,11113.25,,5026.569824,,47610564514.0,
2015-04-23,234.052994,17036000.0,12.41,1.45531,11128.15039,,5020.220215,,47610564514.0,
2015-04-24,235.970001,21448700.0,12.58,1.45821,11199.94043,,5096.339844,,47610564514.0,
2015-04-25,231.235001,13957200.0,,1.42041,,,,,47610564514.0,
2015-04-26,226.410004,28943700.0,,1.3995,,,,47.0,47610564514.0,
2015-04-27,219.429001,38574000.0,12.66,1.32185,11226.41992,,5104.359863,,47610564514.0,
2015-04-28,228.968994,21469200.0,12.54,1.38264,11165.07031,,5063.259766,,47610564514.0,
2015-04-29,225.591003,18936500.0,13.36,1.36257,11161.95996,,5028.450195,,47610564514.0,
2015-04-30,225.692993,33818600.0,13.17,1.36098,11116.71973,,4996.990234,,47610564514.0,
2015-05-01,235.938995,18815300.0,12.85,1.44285,11074.9502,,4966.319824,,47610564514.0,
2015-05-02,232.341003,12535500.0,,1.40725,,,,,47610564514.0,
2015-05-03,234.880005,18494100.0,,1.4198,,,,44.0,47610564514.0,
2015-05-04,240.356003,21223400.0,13.37,1.43461,11154.99023,,5018.350098,,47643398018.0,
2015-05-05,238.852005,23929100.0,13.33,1.41488,11171.50977,,5000.200195,,47643398018.0,
2015-05-06,236.248993,29587200.0,13.2,1.40633,11082.05957,,4956.700195,,47643398018.0,
2015-05-07,229.662003,29064400.0,12.53,1.38973,10997.91992,,4917.75,,47643398018.0,
2015-05-08,237.203995,27445500.0,12.76,1.4549,11138.65039,,4991.629883,,47643398018.0,
2015-05-09,243.768997,19790500.0,,1.48048,,,,,47643398018.0,
2015-05-10,241.729004,15019100.0,,1.4483,,,,48.0,47643398018.0,
2015-05-11,240.298996,20892300.0,12.72,1.43852,11182.12012,,5003.259766,,47643398018.0,
2015-05-12,242.145004,19282600.0,12.85,1.43881,11106.09961,,4966.439941,,47643398018.0,
2015-05-13,241.397995,27180100.0,12.99,1.44381,11131.53027,,4991.419922,,47643398018.0,
2015-05-14,236.214005,24413700.0,13.37,1.45004,11163.9502,,5016.680176,,47643398018.0,
2015-05-15,236.955002,16329400.0,13.06,1.44784,11202.98047,,5059.149902,,47643398018.0,
2015-05-16,237.643997,11089700.0,,1.4547,,,,,47643398018.0,
2015-05-17,236.009995,11134300.0,,1.44647,,,,48.0,48807487245.0,
2015-05-18,236.886993,16780300.0,13.18,1.45364,11207.03027,,5040.919922,,48807487245.0,
2015-05-19,233.037003,14241900.0,12.94,1.44678,11214.42969,,5080.439941,,48807487245.0,
2015-05-20,231.889999,15499400.0,12.64,1.45352,11221.41016,,5072.439941,,48807487245.0,
2015-05-21,234.016006,15108900.0,12.42,1.46075,11212.51953,,5065.939941,,48807487245.0,
2015-05-22,235.320999,27003000.0,12.46,1.47949,11213.94043,,5085.390137,,48807487245.0,
2015-05-23,240.285995,14605000.0,,1.8313,,,,,48807487245.0,
2015-05-24,238.975998,11508000.0,,1.78738,,,,48.0,48807487245.0,
2015-05-25,240.927002,14423900.0,,1.83341,,,,,48807487245.0,
2015-05-26,237.104004,16425000.0,12.05,1.8027,11197.59961,,5076.910156,,48807487245.0,
2015-05-27,237.065002,18837000.0,11.74,1.81612,11076.25977,,5047.859863,,48807487245.0,
2015-05-28,237.257004,13829600.0,11.73,1.847,11128.75977,,5096.339844,,48807487245.0,
2015-05-29,237.376999,14805000.0,11.97,1.8406,11116.20996,,5093.100098,,48807487245.0,
2015-05-30,237.091995,14098600.0,,1.83017,,,,,48807487245.0,
2015-05-31,233.134995,14730800.0,,1.81209,,,,48.0,48807487245.0,
2015-06-01,230.233002,26090500.0,11.94,1.63856,11081.66992,,5094.939941,,48807487245.0,
2015-06-02,222.893997,20459000.0,11.96,1.61608,11057.13965,,5063.470215,,47589591154.0,
2015-06-03,225.735992,17752400.0,11.88,1.6705,11101.87012,,5098.47998,,47589591154.0,
2015-06-04,225.772003,14728100.0,11.85,1.68667,11062.12988,,5078.220215,,47589591154.0,
2015-06-05,224.154007,18056500.0,11.51,1.66929,10982.04981,,5057.040039,,47589591154.0,
2015-06-06,225.005005,11131500.0,,1.76106,,,,,47589591154.0,
2015-06-07,225.595993,13318400.0,,1.7585,,,,44.0,47589591154.0,
2015-06-08,222.878998,23378400.0,11.48,1.73182,10975.21973,,5066.649902,,47589591154.0,
2015-06-09,228.537994,28353100.0,11.57,1.78491,10918.24023,,5013.129883,,47589591154.0,
2015-06-10,228.994995,15904800.0,11.77,1.79665,10960.08984,,5029.410156,,47589591154.0,
