Date,Gold_usd
2015-01-02,10.54
2015-01-05,10.98
2015-01-06,11.02
2015-01-07,11.08
2015-01-08,11.01
2015-01-09,10.96
2015-01-12,11.06
2015-01-13,11.47
2015-01-14,10.82
2015-01-15,10.72
2015-01-16,11.49
2015-01-20,12.2
2015-01-21,12.78
2015-01-22,12.9
2015-01-23,12.66
2015-01-26,12.1
2015-01-27,12.89
2015-01-28,12.92
2015-01-29,12.28
2015-01-30,12.35
2015-02-02,12.52
2015-02-03,12.8
2015-02-04,12.76
2015-02-05,12.87
2015-02-06,12.55
2015-02-09,12.39
2015-02-10,12.28
2015-02-11,12.2
2015-02-12,12.12
2015-02-13,12.25
2015-02-17,11.9
2015-02-18,12.03
2015-02-19,12.55
2015-02-20,12.86
2015-02-23,12.69
2015-02-24,12.59
2015-02-25,12.71
2015-02-26,12.91
2015-02-27,12.83
2015-03-02,13.04
2015-03-03,12.8
2015-03-04,12.51
2015-03-05,12.18
2015-03-06,11.82
2015-03-09,11.41
2015-03-10,10.69
2015-03-11,10.68
2015-03-12,11.03
2015-03-13,10.7
2015-03-16,10.56
2015-03-17,10.39
2015-03-18,10.3
2015-03-19,10.85
2015-03-20,10.98
2015-03-23,11.24
2015-03-24,11.45
2015-03-25,11.46
2015-03-26,11.56
2015-03-27,11.22
2015-03-30,11.05
2015-03-31,11.1
2015-04-01,11.07
2015-04-02,11.84
2015-04-06,12.32
2015-04-07,12.46
2015-04-08,12.44
2015-04-09,12.16
2015-04-10,12.63
2015-04-13,12.61
2015-04-14,12.4
2015-04-15,12.55
2015-04-16,12.9
2015-04-17,12.76
2015-04-20,12.66
2015-04-21,12.65
2015-04-22,12.8
2015-04-23,12.41
2015-04-24,12.58
2015-04-27,12.66
2015-04-28,12.54
2015-04-29,13.36
2015-04-30,13.17
2015-05-01,12.85
2015-05-04,13.37
2015-05-05,13.33
2015-05-06,13.2
2015-05-07,12.53
2015-05-08,12.76
2015-05-11,12.72
2015-05-12,12.85
2015-05-13,12.99
2015-05-14,13.37
2015-05-15,13.06
2015-05-18,13.18
2015-05-19,12.94
2015-05-20,12.64
2015-05-21,12.42
2015-05-22,12.46
2015-05-26,12.05
2015-05-27,11.74
2015-05-28,11.73
