Date,NYSE_usd
2015-01-02,10859.79981
2015-01-05,10764.37012
2015-01-06,10610.78027
2015-01-07,10514.48047
2015-01-08,10686
2015-01-09,10811.82031
2015-01-12,10712.65039
2015-01-13,10640.74023
2015-01-14,10622.57031
2015-01-15,10606.62988
2015-01-16,10508.62012
2015-01-20,10682
2015-01-21,10646
2015-01-22,10753.58008
2015-01-23,10854.23047
2015-01-26,10787.29981
2015-01-27,10793.04004
2015-01-28,10797.23047
2015-01-29,10617.88965
2015-01-30,10636.04004
2015-02-02,10567.95996
2015-02-03,10721.57031
2015-02-04,10803.49023
2015-02-05,10821.34961
2015-02-06,10903.29004
2015-02-09,10831.04004
2015-02-10,10860.70996
2015-02-11,10883.91016
2015-02-12,10924.19043
2015-02-13,11009.87012
2015-02-17,11042.78027
2015-02-18,11054.46973
2015-02-19,11027
2015-02-20,11025.26953
2015-02-23,11091.46973
2015-02-24,11082.12988
2015-02-25,11119.63965
2015-02-26,11111.83984
2015-02-27,11078.54004
2015-03-02,11053.66016
2015-03-03,11090.76953
2015-03-04,11018.79981
2015-03-05,11014.7002
2015-03-06,10964.23047
2015-03-09,10846.04981
2015-03-10,10802.5
2015-03-11,10686.65039
2015-03-12,10734.70996
2015-03-13,10784.08984
2015-03-16,10787.46973
2015-03-17,10843.67969
2015-03-18,10846.42969
2015-03-19,10976.83008
2015-03-20,10932.5
2015-03-23,11089.66016
2015-03-24,11071.9502
2015-03-25,11036.94043
2015-03-26,10877.19043
2015-03-27,10860.65039
2015-03-30,10919.04981
2015-03-31,10914.04981
2015-04-01,10906.12988
2015-04-02,10897.66016
2015-04-06,10936.83984
2015-04-07,11042
2015-04-08,11038.51953
2015-04-09,11028.75
2015-04-10,11077.74023
2015-04-13,11110.17969
2015-04-14,11078.75977
2015-04-15,11136.88965
2015-04-16,11171.49023
2015-04-17,11113.50977
2015-04-20,11058.50977
2015-04-21,11115.79981
2015-04-22,11113.25
2015-04-23,11128.15039
2015-04-24,11199.94043
2015-04-27,11226.41992
2015-04-28,11165.07031
2015-04-29,11161.95996
2015-04-30,11116.71973
2015-05-01,11074.9502
2015-05-04,11154.99023
2015-05-05,11171.50977
2015-05-06,11082.05957
2015-05-07,10997.91992
2015-05-08,11138.65039
2015-05-11,11182.12012
2015-05-12,11106.09961
2015-05-13,11131.53027
2015-05-14,11163.9502
2015-05-15,11202.98047
2015-05-18,11207.03027
2015-05-19,11214.42969
2015-05-20,11221.41016
2015-05-21,11212.51953
2015-05-22,11213.94043
2015-05-26,11197.59961
2015-05-27,11076.25977
2015-05-28,11128.75977
2015-05-29,11116.20996
2015-06-01,11081.66992
2015-06-02,11057.13965
2015-06-03,11101.87012
2015-06-04,11062.12988
2015-06-05,10982.04981
2015-06-08,10975.21973
2015-06-09,10918.24023
2015-06-10,10960.08984
2015-06-11,11072.53027
2015-06-12,11037.33984
2015-06-15,10942.50977
2015-06-16,10940.4502
2015-06-17,11009.48047
2015-06-18,11032.48047
2015-06-19,11080.29004
2015-06-22,11104.66016
2015-06-23,11146.58008
2015-06-24,11132.44043
2015-06-25,11078.57031
2015-06-26,11048.59961
2015-06-29,10940.98047
2015-06-30,10859.11035
2015-07-01,10844.45996
2015-07-02,10885.53027
2015-07-06,10770.04004
2015-07-07,10764.96973
2015-07-08,10755.55957
2015-07-09,10741.75977
2015-07-10,10689.50977
2015-07-13,10853.91992
2015-07-14,10944
2015-07-15,10989.37012
2015-07-16,11013.33008
2015-07-17,11010.83984
2015-07-20,10991.28027
2015-07-21,10960.41016
2015-07-22,10897.13965
2015-07-23,10918.08984
2015-07-24,10830.78027
2015-07-27,10688.86035
2015-07-28,10698.90039
2015-07-29,10795.17969
2015-07-30,10866.30957
2015-07-31,10908.30957
2015-08-03,10883.46973
2015-08-04,10849.13965
2015-08-05,10874.2002
2015-08-06,10851.33984
2015-08-07,10779.5
2015-08-10,10804.80957
2015-08-11,10857.08984
2015-08-12,10725.87988
2015-08-13,10779.44043
2015-08-14,10736.34961
2015-08-17,10743.57031
2015-08-18,10799.54004
2015-08-19,10742.32031
2015-08-20,10618.34961
2015-08-21,10402.29981
2015-08-24,9864.299805
2015-08-25,9790.099609
2015-08-26,9692.400391
2015-08-27,10044.36035
2015-08-28,10199.16016
2015-08-31,10198.32031
2015-09-01,10176.5
2015-09-02,9963.139648
2015-09-03,10044.34961
2015-09-04,9955.370117
2015-09-08,9974.780273
2015-09-09,10193.04004
2015-09-10,9985.030273
2015-09-11,9987.480469
2015-09-14,10026.54981
2015-09-15,10008.62988
2015-09-16,10139.08984
2015-09-17,10217.04981
2015-09-18,10118.21973
2015-09-21,10049.36035
2015-09-22,9970.259766
2015-09-23,9923.730469
2015-09-24,9813.160156
2015-09-25,9913.629883
2015-09-28,9803.400391
2015-09-29,9612.629883
2015-09-30,9698.929688
2015-10-01,9832.330078
2015-10-02,9755.780273
2015-10-05,10035.86035
2015-10-06,10167.5
2015-10-07,10212.34961
2015-10-08,10238.12012
2015-10-09,10376.69043
2015-10-12,10356.33008
2015-10-13,10298.57031
2015-10-14,10267.5
2015-10-15,10259.50977
2015-10-16,10407.28027
2015-10-19,10385.45996
2015-10-20,10377.24023
2015-10-21,10403.74023
2015-10-22,10342.75
2015-10-23,10486.94043
2015-10-26,10495.91016
2015-10-27,10420.75
2015-10-28,10428.03027
2015-10-29,10504.34961
2015-10-30,10509.15039
2015-11-02,10474.58008
2015-11-03,10556.36035
2015-11-04,10629.58984
2015-11-05,10563.92969
2015-11-06,10525.65039
2015-11-09,10486.71973
2015-11-10,10389.17969
2015-11-11,10454.15039
2015-11-12,10335
2015-11-13,10206.54004
2015-11-16,10143.37988
2015-11-17,10320.05957
2015-11-18,10285.37012
2015-11-19,10426.12988
2015-11-20,10460.25
2015-11-23,10433.62988
2015-11-24,10379.26953
2015-11-25,10449.67969
2015-11-27,10442.61035
2015-11-30,10455.48047
2015-12-01,10447.05957
2015-12-02,10501.09961
2015-12-03,10415.55957
2015-12-04,10266.5
2015-12-07,10408.86035
2015-12-08,10214.29004
2015-12-09,10191.34961
2015-12-10,10165.45996
2015-12-11,10074.08008
2015-12-14,9977.820313
2015-12-15,10057.33008
2015-12-16,10164.83984
2015-12-17,10267.83008
2015-12-18,10072.98047
2015-12-21,10017.12988
2015-12-22,10052.33984
2015-12-23,10180.62012
2015-12-24,10266.05957
2015-12-28,10225.99023
2015-12-29,10270.37988
2015-12-30,10277.53027
2015-12-31,10186.44043
2016-01-04,10020.04981
2016-01-05,10007.00977
2016-01-06,9907.370117
2016-01-07,9751.349609
2016-01-08,9692.799805
2016-01-11,9575.179688
2016-01-12,9591.30957
2016-01-13,9619.009766
2016-01-14,9405.429688
2016-01-15,9387.540039
2016-01-19,9378.860352
