Date,Litecoin_usd
2015-01-01,2.72421
2015-01-02,2.69743
2015-01-03,2.66646
2015-01-04,2.11022
2015-01-05,1.95803
2015-01-06,2.08434
2015-01-07,2.1181
2015-01-08,2.11561
2015-01-09,2.01002
2015-01-10,1.96999
2015-01-11,1.6536
2015-01-12,1.71768
2015-01-13,1.7102
2015-01-14,1.54961
2015-01-15,1.15324
2015-01-16,1.27719
2015-01-17,1.3978
2015-01-18,1.29603
2015-01-19,1.32857
2015-01-20,1.34099
2015-01-21,1.3239
2015-01-22,1.37427
2015-01-23,1.41231
2015-01-24,1.43068
2015-01-25,1.84205
2015-01-26,2.24549
2015-01-27,2.07418
2015-01-28,2.09127
2015-01-29,1.87663
2015-01-30,1.91446
2015-01-31,1.89613
2015-02-01,1.87878
2015-02-02,1.81281
2015-02-03,1.87418
2015-02-04,1.82085
2015-02-05,1.79474
2015-02-06,1.74033
2015-02-07,1.75956
2015-02-08,1.78679
2015-02-09,1.78527
2015-02-10,1.73325
2015-02-11,1.76081
2015-02-12,1.73081
2015-02-13,1.75509
2015-02-14,1.82293
2015-02-15,1.94003
2015-02-16,1.84448
2015-02-17,1.79412
2015-02-18,1.85666
2015-02-19,1.82521
2015-02-20,1.84202
2015-02-21,1.84896
2015-02-22,1.84988
2015-02-23,1.80305
2015-02-24,1.81356
2015-02-25,1.83
2015-02-26,1.8081
2015-02-27,1.80117
2015-02-28,1.84918
2015-03-01,1.84576
2015-03-02,1.89242
2015-03-03,1.9422
2015-03-04,1.95605
2015-03-05,1.92448
2015-03-06,1.92033
2015-03-07,1.89359
2015-03-08,1.91353
2015-03-09,1.8925
2015-03-10,1.944
2015-03-11,2.00824
2015-03-12,2.02358
2015-03-13,2.04211
2015-03-14,2.00409
2015-03-15,1.99462
2015-03-16,2.02176
2015-03-17,2.03447
2015-03-18,1.98265
2015-03-19,1.74365
2015-03-20,1.76328
2015-03-21,1.76692
2015-03-22,1.74583
2015-03-23,1.79968
2015-03-24,1.77551
2015-03-25,1.6546
2015-03-26,1.67272
2015-03-27,1.6912
2015-03-28,1.68267
2015-03-29,1.70459
2015-03-30,1.65646
2015-03-31,1.66961
2015-04-01,1.65103
2015-04-02,1.66689
2015-04-03,1.67682
2015-04-04,1.69983
2015-04-05,1.68251
2015-04-06,1.70164
2015-04-07,1.68598
2015-04-08,1.66827
2015-04-09,1.61959
2015-04-10,1.58526
2015-04-11,1.52283
2015-04-12,1.45879
2015-04-13,1.47176
2015-04-14,1.37585
2015-04-15,1.37596
2015-04-16,1.38324
2015-04-17,1.42154
2015-04-18,1.40984
2015-04-19,1.40987
2015-04-20,1.38429
2015-04-21,1.4081
2015-04-22,1.4322
2015-04-23,1.45531
2015-04-24,1.45821
2015-04-25,1.42041
2015-04-26,1.3995
2015-04-27,1.32185
2015-04-28,1.38264
2015-04-29,1.36257
2015-04-30,1.36098
2015-05-01,1.44285
2015-05-02,1.40725
2015-05-03,1.4198
2015-05-04,1.43461
2015-05-05,1.41488
2015-05-06,1.40633
2015-05-07,1.38973
2015-05-08,1.4549
2015-05-09,1.48048
2015-05-10,1.4483
2015-05-11,1.43852
2015-05-12,1.43881
2015-05-13,1.44381
2015-05-14,1.45004
2015-05-15,1.44784
2015-05-16,1.4547
2015-05-17,1.44647
2015-05-18,1.45364
2015-05-19,1.44678
2015-05-20,1.45352
2015-05-21,1.46075
2015-05-22,1.47949
2015-05-23,1.8313
2015-05-24,1.78738
2015-05-25,1.83341
2015-05-26,1.8027
2015-05-27,1.81612
2015-05-28,1.847
2015-05-29,1.8406
2015-05-30,1.83017
2015-05-31,1.81209
2015-06-01,1.63856
2015-06-02,1.61608
2015-06-03,1.6705
2015-06-04,1.68667
2015-06-05,1.66929
2015-06-06,1.76106
2015-06-07,1.7585
2015-06-08,1.73182
2015-06-09,1.78491
2015-06-10,1.79665
2015-06-11,1.75915
2015-06-12,1.7896
2015-06-13,1.80274
2015-06-14,1.86078
2015-06-15,2.00235
2015-06-16,2.01804
2015-06-17,2.89642
2015-06-18,2.89033
2015-06-19,3.09533
2015-06-20,2.8102
2015-06-21,3.03519
2015-06-22,3.02145
2015-06-23,3.02777
2015-06-24,2.97423
2015-06-25,2.77278
2015-06-26,2.84674
2015-06-27,2.86143
2015-06-28,3.09358
2015-06-29,3.18773
2015-06-30,3.74412
2015-07-01,4.086
2015-07-02,3.92664
2015-07-03,4.06233
2015-07-04,4.11832
2015-07-05,4.1269
2015-07-06,4.947
2015-07-07,5.43707
2015-07-08,5.24678
2015-07-09,6.35645
2015-07-10,7.52701
2015-07-11,4.47577
2015-07-12,4.38751
2015-07-13,5.29992
2015-07-14,4.68284
2015-07-15,4.64896
2015-07-16,4.19748
2015-07-17,3.72079
2015-07-18,3.78299
2015-07-19,4.00438
2015-07-20,3.77032
2015-07-21,3.93053
2015-07-22,3.78298
2015-07-23,3.82554
2015-07-24,3.78946
2015-07-25,4.59776
2015-07-26,4.63255
2015-07-27,4.68313
2015-07-28,4.67001
2015-07-29,5.04962
2015-07-30,4.79262
2015-07-31,4.5822
2015-08-01,4.63908
2015-08-02,4.08738
2015-08-03,4.16947
2015-08-04,4.18342
2015-08-05,4.37433
2015-08-06,4.349
2015-08-07,4.06334
2015-08-08,4.22099
2015-08-09,3.84339
2015-08-10,3.9008
2015-08-11,3.94874
2015-08-12,4.14334
2015-08-13,3.97227
2015-08-14,3.88069
2015-08-15,4.02249
2015-08-16,3.93203
2015-08-17,3.96332
2015-08-18,3.98368
2015-08-19,3.47965
2015-08-20,3.47081
2015-08-21,3.60023
2015-08-22,3.56256
2015-08-23,3.51328
2015-08-24,3.39258
2015-08-25,2.98477
2015-08-26,2.94969
2015-08-27,2.94614
2015-08-28,2.84239
2015-08-29,2.91616
2015-08-30,2.87156
2015-08-31,2.85323
2015-09-01,2.84742
2015-09-02,2.81981
2015-09-03,2.79669
2015-09-04,2.63814
2015-09-05,2.70205
2015-09-06,2.91782
2015-09-07,3.039
2015-09-08,3.04737
2015-09-09,3.04828
2015-09-10,2.92465
2015-09-11,2.94878
2015-09-12,2.96257
2015-09-13,2.82479
2015-09-14,2.81492
2015-09-15,2.8442
2015-09-16,2.82994
2015-09-17,2.80622
2015-09-18,2.91062
2015-09-19,2.95491
2015-09-20,2.87507
2015-09-21,2.85372
2015-09-22,2.79847
